crop,class_name,file_name,relative_path,absolute_path,width,height,channels,format,size_bytes,sha256,split
wheat,LeafBlight,LeafBlight_66.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\LeafBlight\LeafBlight_66.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\LeafBlight\LeafBlight_66.jpg,1440,1080,3,JPEG,312865,13da71907c54f41c70142d8e5455e570df0771f9211726ef5bc3317f0a721569,train
wheat,HealthyLeaf,HealthyLeaf_91.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\HealthyLeaf\HealthyLeaf_91.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\HealthyLeaf\HealthyLeaf_91.jpg,1080,1440,3,JPEG,385306,01fd9cf741a91f292a4421740404be51cf29c232348f0bbfeeb82232c53056eb,train
wheat,WheatBlast,WheatBlast_63.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\WheatBlast\WheatBlast_63.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\WheatBlast\WheatBlast_63.jpg,1440,1080,3,JPEG,401834,fa9aa250c7126913e56ba82ebdd35a1e793d37b3c97565f332845031dd35a169,train
wheat,HealthyLeaf,HealthyLeaf_227.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\HealthyLeaf\HealthyLeaf_227.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\HealthyLeaf\HealthyLeaf_227.jpg,1080,1440,3,JPEG,294249,bb82586e794643479c08c3e54ba2df050a8ad52b4b5f057b5157a75ce308dbf0,train
wheat,HealthyLeaf,HealthyLeaf_198.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\HealthyLeaf\HealthyLeaf_198.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\HealthyLeaf\HealthyLeaf_198.jpg,1080,1440,3,JPEG,415081,7101afcb1238a6f991ae78324aa160c87e9df4421c2d56b4ec59ab260d4817fe,train
wheat,BlackPoint,BlackPoint_112.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\BlackPoint\BlackPoint_112.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\BlackPoint\BlackPoint_112.jpg,1080,1440,3,JPEG,285501,af55c6b83189a6bad667b473a5abcf2a6734ad144ed1e2d08dc60d7eedde498e,train
wheat,WheatBlast,WheatBlast_217.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\WheatBlast\WheatBlast_217.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\WheatBlast\WheatBlast_217.jpg,1440,1080,3,JPEG,353211,c627c85839dd7b9243ec7d1a58b55b6aca52024e163a0673b522404c3ae6efd9,train
wheat,WheatBlast,WheatBlast_122.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\WheatBlast\WheatBlast_122.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\WheatBlast\WheatBlast_122.jpg,1440,1080,3,JPEG,375530,8687ae0adde4490e817a3f0da25504ca1aedf97d64ba6171c3228e3b45a86a27,train
wheat,LeafBlight,LeafBlight_354.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\LeafBlight\LeafBlight_354.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\LeafBlight\LeafBlight_354.jpg,1440,1080,3,JPEG,173861,0e606b6c691d697e724043b45cbd0701b44d152736b26ea5d4d72d7882a53271,train
wheat,BlackPoint,BlackPoint_275.jpg,data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\BlackPoint\BlackPoint_275.jpg,D:\ZaraiAI_Tomato_Cotton_Wheat\data\raw\wheat\wheat_disease_main\Wheat Disease\Original Dataset\BlackPoint\BlackPoint_275.jpg,1080,1440,3,JPEG,236303,e19760232140296433a3b3b2908b1494ac5b218f159b16c73069be99b5d17381,train
